time,x-axis,y-axis,z-axis
0.06 , -2.45 , 7.51 , 5.0600000000000005
0.124 , 0.77 , 5.67 , 8.27
0.18 , -0.92 , 6.44 , 6.13
0.24 , 0.77 , 5.82 , 5.36
0.3 , -3.68 , 8.58 , 6.74
0.36 , -2.7600000000000002 , 8.73 , 7.05
0.42 , -1.84 , 7.66 , 5.82
0.48 , -2.15 , 9.5 , 6.13
0.54 , -0.92 , 8.43 , 5.67
0.6 , -2.91 , 8.120000000000001 , 5.82
0.66 , -3.06 , 10.57 , 8.58
0.72 , -4.14 , 6.44 , 5.98
0.78 , -2.3000000000000003 , 8.43 , 2.45
0.84 , 2.3000000000000003 , 13.02 , -9.65
0.901 , 0.46 , 9.35 , -6.28
0.96 , 2.45 , 12.26 , 0.92
1.02 , -2.15 , 9.35 , 0.31
1.08 , -2.7600000000000002 , 8.73 , -0.61
1.1400000000000001 , -1.23 , 9.81 , -0.61
1.2 , -0.77 , 9.5 , -0.31
1.26 , -1.84 , 9.5 , -0.77
1.32 , -1.23 , 10.11 , -1.3800000000000001
1.3800000000000001 , -1.3800000000000001 , 10.73 , -1.07
1.44 , -1.53 , 9.5 , -0.61
1.5 , -1.99 , 9.5 , -0.46
1.56 , -1.23 , 8.27 , -1.99
1.62 , -1.69 , 8.58 , 0.77
1.68 , -0.15 , 7.3500000000000005 , 0.61
1.74 , 0.15 , 7.51 , 1.23
1.8 , -1.69 , 14.25 , 0.46
1.86 , -0.31 , 13.48 , -1.84
1.92 , -0.77 , 18.080000000000002 , -3.37
1.98 , 0.31 , 12.26 , 0.92
2.044 , -0.15 , 4.9 , 5.36
2.1 , 1.53 , 3.22 , 5.98
2.16 , 3.22 , 11.34 , 5.36
2.22 , 3.68 , 19.46 , 0.92
2.2800000000000002 , 0.77 , 19.46 , 1.07
2.34 , -0.61 , 5.98 , 0.61
2.4 , 1.69 , 0.61 , 2.15
2.46 , -0.15 , -4.29 , 0.92
2.52 , -2.91 , -3.22 , 0.15
2.58 , -9.040000000000001 , 18.54 , 2.7600000000000002
2.64 , -6.13 , 19.46 , 1.99
2.7 , -1.99 , 17.47 , 0.46
2.7600000000000002 , -1.53 , 0.92 , 1.07
2.82 , 0.61 , -1.3800000000000001 , 2.45
2.88 , 1.53 , -3.06 , 1.23
2.94 , 3.06 , 13.33 , 1.3800000000000001
3.0 , 3.98 , 19.46 , 2.45
3.06 , 2.45 , 19.46 , -1.3800000000000001
3.12 , -0.46 , 9.81 , 1.84
3.18 , -2.6 , -2.6 , 2.3000000000000003
3.24 , 0.31 , -5.82 , 0.92
3.3000000000000003 , -3.52 , 2.45 , -0.61
3.36 , -10.88 , 19.46 , 7.51
3.4210000000000003 , -8.89 , 19.46 , -0.92
