time,x-axis,y-axis,z-axis
0.06 , 0.15 , 7.3500000000000005 , 6.13
0.12 , 0.15 , 6.28 , 6.9
0.182 , -0.46 , 7.2 , 7.05
0.24 , -0.15 , 7.2 , 7.97
0.3 , 0.92 , 7.51 , 6.28
0.362 , -0.15 , 5.5200000000000005 , 7.3500000000000005
0.42 , 0.77 , 8.43 , 7.8100000000000005
0.48 , -1.07 , 5.82 , 7.66
0.54 , 0.61 , 4.6000000000000005 , 8.73
0.6 , 0.31 , 5.67 , 9.81
0.66 , 0.61 , 4.14 , 9.96
0.72 , 0.77 , 6.13 , 8.43
0.78 , 0.61 , 5.67 , 7.3500000000000005
0.84 , 0.31 , 5.5200000000000005 , 8.120000000000001
0.9 , 0.61 , 6.13 , 7.51
0.96 , -0.15 , 5.36 , 7.97
1.02 , 0.15 , 5.82 , 7.51
1.08 , -0.46 , 5.67 , 7.66
1.1400000000000001 , -0.46 , 5.98 , 7.97
1.2 , -0.61 , 5.5200000000000005 , 7.2
1.26 , -1.23 , 5.67 , 8.43
1.321 , -0.31 , 5.82 , 7.8100000000000005
1.3800000000000001 , -0.61 , 5.67 , 8.27
1.44 , -0.61 , 6.13 , 8.120000000000001
1.5 , -0.61 , 5.82 , 7.97
1.561 , -0.31 , 6.28 , 7.3500000000000005
1.621 , -0.92 , 5.82 , 8.58
1.68 , -0.31 , 6.44 , 7.3500000000000005
1.74 , -0.31 , 6.44 , 7.97
1.8 , -0.46 , 6.28 , 7.2
1.86 , -0.15 , 6.28 , 7.66
1.92 , -0.61 , 6.13 , 7.2
1.98 , -0.77 , 6.13 , 7.66
2.04 , -0.92 , 6.13 , 7.8100000000000005
2.1 , -0.61 , 6.28 , 7.51
2.16 , -0.61 , 6.28 , 7.66
2.221 , -0.46 , 6.28 , 7.2
2.2800000000000002 , -0.61 , 6.28 , 7.66
2.34 , -0.46 , 6.44 , 7.3500000000000005
2.4 , -0.31 , 6.44 , 7.3500000000000005
2.46 , -0.46 , 6.28 , 7.66
2.52 , -0.15 , 6.44 , 6.9
2.58 , -0.15 , 6.13 , 6.44
2.64 , -0.31 , 6.44 , 7.2
2.7 , -0.61 , 6.44 , 7.2
2.7600000000000002 , -0.31 , 6.59 , 7.66
