time,x-axis,y-axis,z-axis
0.06 , -0.77 , 4.6000000000000005 , 8.73
0.12 , 0.61 , 6.74 , 5.67
0.185 , -1.53 , 5.5200000000000005 , 8.89
0.24 , -0.31 , 4.29 , 11.34
0.3 , -2.45 , 3.83 , 5.82
0.36 , -4.75 , 6.13 , 9.5
0.42 , -6.13 , 2.7600000000000002 , 5.98
0.48 , -6.74 , 4.29 , 6.28
0.54 , -8.27 , 1.84 , 4.14
0.6 , -7.8100000000000005 , 3.83 , 4.6000000000000005
0.66 , -6.59 , 4.14 , 4.75
0.72 , -6.59 , 7.51 , 6.44
0.78 , -6.28 , 6.28 , 6.44
0.84 , -5.21 , 8.58 , 7.3500000000000005
0.9 , -5.21 , 5.67 , 7.51
0.96 , -1.69 , 5.82 , 6.13
1.02 , -1.99 , 4.75 , 9.19
1.08 , -1.23 , 4.29 , 5.36
1.1400000000000001 , -0.46 , 4.29 , 7.51
1.2 , 0.31 , 5.5200000000000005 , 7.3500000000000005
1.26 , 1.69 , 6.44 , 8.89
1.32 , 0.46 , 4.14 , 6.28
1.3800000000000001 , 1.23 , 4.75 , 7.3500000000000005
1.44 , 0.15 , 5.21 , 8.27
1.5 , 1.23 , 6.59 , 11.19
1.56 , -0.77 , 4.75 , 8.27
1.62 , -0.77 , 5.82 , 9.96
1.68 , 3.98 , 8.58 , 9.96
1.74 , -1.07 , 6.28 , 6.44
1.8 , 0.92 , 5.21 , 6.28
1.86 , -0.77 , 6.44 , 8.73
1.92 , -1.53 , 5.98 , 6.59
1.98 , -1.23 , 5.5200000000000005 , 7.2
2.04 , -0.77 , 7.05 , 6.9
2.1 , -1.07 , 5.36 , 7.66
2.161 , -0.61 , 4.9 , 7.8100000000000005
2.22 , 0.31 , 4.9 , 8.43
2.2800000000000002 , -0.61 , 6.44 , 8.89
2.34 , 0.77 , 5.21 , 10.57
2.4 , 1.3800000000000001 , 4.75 , 9.19
2.46 , -0.92 , 5.21 , 11.19
2.52 , 0.15 , 4.29 , 7.8100000000000005
2.58 , 0.15 , 4.6000000000000005 , 9.65
2.64 , 0.15 , 4.29 , 8.58
2.7 , -0.15 , 3.68 , 9.65
2.7600000000000002 , -0.46 , 3.83 , 9.96
2.82 , -0.15 , 3.22 , 10.11
2.88 , -0.46 , 5.21 , 9.040000000000001
2.94 , 0.77 , 5.5200000000000005 , 8.89
3.0 , -0.31 , 3.37 , 5.82
3.06 , -1.69 , 6.74 , 5.36
3.12 , -1.53 , 6.44 , 7.51
3.18 , -1.3800000000000001 , 8.58 , 6.59
3.24 , -1.53 , 6.44 , 4.6000000000000005
3.3000000000000003 , -1.69 , 7.66 , 7.05
3.36 , -1.69 , 6.44 , 5.5200000000000005
3.42 , -1.3800000000000001 , 3.52 , 11.8
3.48 , -1.23 , 3.06 , 8.73
3.54 , 0.77 , 4.14 , 11.03
3.6 , -0.15 , 4.29 , 9.35
3.66 , -1.84 , 5.36 , 10.73
3.72 , -0.31 , 5.36 , 5.67
3.7800000000000002 , 0.46 , 6.44 , 4.14
3.84 , -2.91 , 9.81 , 5.82
3.904 , -2.3000000000000003 , 8.120000000000001 , -1.53
3.96 , -5.5200000000000005 , 11.950000000000001 , 1.99
4.0200000000000005 , -2.7600000000000002 , 11.34 , 1.69
4.08 , -1.23 , 11.8 , 1.84
4.14 , -0.92 , 11.34 , -0.92
4.2 , -1.99 , 5.5200000000000005 , 0.15
4.26 , 0.46 , 9.040000000000001 , 0.31
4.32 , -1.3800000000000001 , 10.88 , -1.99
4.381 , -1.23 , 9.96 , -0.92
4.44 , -1.84 , 9.65 , 1.3800000000000001
4.5 , 0.46 , 10.27 , -2.45
4.5600000000000005 , -1.23 , 10.27 , 0.92
4.62 , 1.07 , 9.96 , -0.77
4.68 , 0.31 , 9.19 , 0.61
4.74 , -0.46 , 9.96 , 0.31
4.8 , -1.23 , 10.27 , 0.31
4.86 , -1.23 , 11.03 , 1.53
4.92 , -0.46 , 8.89 , -0.31
4.98 , -0.46 , 10.42 , -0.46
5.04 , -0.46 , 9.19 , 0.61
5.107 , 0.15 , 9.65 , 0.61
5.1610000000000005 , -0.46 , 9.81 , 0.46
5.22 , -0.46 , 9.35 , -0.46
5.28 , -0.15 , 9.5 , -0.46
5.34 , -0.15 , 10.73 , 0.15
5.4 , -0.15 , 10.11 , 0.92
5.46 , -0.15 , 9.65 , 0.92
5.521 , -0.31 , 9.65 , 0.31
5.58 , -0.31 , 9.81 , 0.15
5.64 , 0.15 , 10.11 , -0.15
5.7 , 0.15 , 9.65 , -0.15
5.76 , 0.15 , 9.65 , 0.15
5.82 , 0.15 , 9.65 , 0.15
5.88 , 0.31 , 10.11 , 0.15
5.94 , 0.77 , 10.42 , 1.23
6.0 , 0.15 , 9.81 , 0.61
6.0600000000000005 , 0.61 , 10.57 , 0.92
6.12 , -0.31 , 9.040000000000001 , 0.15
6.18 , -0.15 , 10.11 , 0.61
6.24 , 0.46 , 9.65 , 1.84
6.3 , 0.15 , 10.42 , 1.07
6.36 , -1.07 , 9.35 , -1.69
6.425 , -0.31 , 9.65 , 0.46
6.48 , -0.15 , 9.81 , 0.46
6.54 , -0.31 , 10.57 , -0.92
6.6000000000000005 , -0.31 , 10.88 , -0.92
6.66 , -0.31 , 9.81 , -0.46
6.727 , -0.15 , 9.35 , 1.07
6.78 , -0.15 , 9.5 , -2.3000000000000003
6.84 , -0.31 , 9.5 , 1.3800000000000001
6.9 , -0.92 , 9.35 , 0.15
6.96 , 0.46 , 11.19 , 0.46
7.0200000000000005 , 0.15 , 9.96 , 1.07
7.08 , -0.31 , 9.35 , 1.07
7.140000000000001 , -0.15 , 9.81 , 1.07
7.2 , 0.31 , 9.040000000000001 , 0.46
7.26 , 0.31 , 10.27 , 0.46
7.32 , 0.46 , 10.11 , 0.31
7.38 , -0.15 , 9.81 , -0.31
7.44 , -0.15 , 9.65 , -0.46
7.5 , 0.15 , 9.81 , -0.46
7.5600000000000005 , -0.46 , 9.81 , -0.46
7.62 , -0.15 , 9.96 , -1.07
7.68 , -0.15 , 9.65 , -1.3800000000000001
7.74 , -0.15 , 10.11 , -1.07
7.8 , 0.31 , 9.81 , -1.07
7.86 , -0.46 , 10.11 , -1.84
7.92 , -0.31 , 9.19 , -1.53
7.98 , -0.61 , 9.81 , -1.84
8.040000000000001 , -0.15 , 9.19 , -1.3800000000000001
8.1 , 0.46 , 10.11 , -1.3800000000000001
8.16 , 0.15 , 11.950000000000001 , -1.07
8.22 , -0.31 , 11.34 , -1.69
8.28 , -0.46 , 12.26 , -1.53
8.34 , -0.15 , 12.72 , 0.61
8.4 , -0.46 , 9.19 , 0.15
8.46 , -1.53 , 9.19 , -0.15
8.52 , -1.53 , 9.19 , -0.46
8.58 , -0.46 , 7.3500000000000005 , 0.46
8.64 , -0.15 , 7.3500000000000005 , -0.92
8.700000000000001 , -0.31 , 8.58 , -1.23
8.767 , -0.31 , 10.42 , -1.84
8.82 , 0.31 , 11.65 , -1.23
8.88 , -0.15 , 12.26 , -2.3000000000000003
8.94 , -0.15 , 13.64 , 0.15
9.0 , 1.07 , 8.27 , 0.15
9.06 , 0.92 , 9.96 , -0.15
9.120000000000001 , -0.15 , 8.58 , -0.77
9.18 , 0.15 , 5.67 , 0.15
9.24 , 0.46 , 6.13 , -0.31
9.3 , 0.77 , 9.65 , -0.92
9.36 , -0.15 , 13.64 , -1.69
9.42 , 1.23 , 13.48 , -1.07
9.48 , 1.53 , 12.41 , 0.31
9.540000000000001 , 0.31 , 11.03 , 1.07
9.6 , -0.15 , 10.11 , 1.99
9.66 , -0.77 , 7.66 , 0.46
9.72 , 0.31 , 8.120000000000001 , 1.3800000000000001
9.78 , -0.31 , 5.21 , -0.15
9.84 , -0.77 , 8.73 , -0.77
9.9 , -0.77 , 10.42 , -0.31
9.96 , 0.61 , 12.72 , -1.23
10.02 , 0.77 , 12.870000000000001 , -1.23
10.08 , 1.23 , 13.94 , 1.53
10.14 , 1.84 , 8.27 , 0.77
10.200000000000001 , 0.77 , 9.5 , 0.92
10.261000000000001 , -0.31 , 5.98 , -0.61
10.32 , 0.31 , 6.13 , -0.92
10.38 , 0.77 , 8.120000000000001 , -0.31
10.44 , 1.69 , 11.49 , -1.07
10.5 , 0.61 , 13.48 , -1.69
10.56 , 0.61 , 11.03 , -0.61
10.620000000000001 , 0.15 , 14.25 , 1.84
10.68 , -0.15 , 7.66 , -0.31
10.74 , -0.92 , 11.8 , 1.23
10.8 , -0.31 , 7.2 , -0.15
10.86 , -0.31 , 6.74 , -0.61
10.92 , -0.61 , 5.67 , -1.53
10.98 , -0.61 , 9.65 , -1.69
11.040000000000001 , 0.61 , 12.41 , -2.15
11.1 , 0.15 , 14.71 , -2.3000000000000003
11.167 , 1.07 , 14.86 , 0.61
11.22 , 0.61 , 9.040000000000001 , -0.46
