time,x-axis,y-axis,z-axis
0.06 , -0.61 , 9.65 , 2.45
0.12 , -0.61 , 9.65 , 2.15
0.18 , -1.23 , 9.65 , 2.91
0.242 , -0.92 , 9.040000000000001 , 1.53
0.3 , -0.92 , 9.5 , 2.15
0.365 , -0.77 , 9.5 , 1.3800000000000001
0.42 , -0.31 , 9.5 , 2.45
0.48 , -0.61 , 9.65 , 1.3800000000000001
0.54 , -0.15 , 9.81 , 2.15
0.6 , -0.92 , 9.65 , 2.3000000000000003
0.66 , -0.31 , 9.65 , 1.23
0.72 , 0.46 , 8.89 , 2.6
0.78 , 0.46 , 8.73 , 0.61
0.84 , 0.46 , 10.73 , 0.61
0.9 , -0.46 , 11.950000000000001 , 0.15
0.96 , 0.31 , 12.56 , -0.77
1.02 , -0.46 , 11.03 , 1.53
1.08 , -0.92 , 10.57 , 3.83
1.1400000000000001 , -2.45 , 9.35 , 3.06
1.2 , -1.69 , 9.35 , 1.53
1.26 , -0.92 , 8.89 , 0.61
1.32 , -0.61 , 7.51 , -0.92
1.3800000000000001 , -0.77 , 8.27 , 0.31
1.44 , -1.3800000000000001 , 8.27 , -0.46
1.5010000000000001 , -1.07 , 9.5 , -0.77
1.56 , -0.61 , 12.72 , 0.15
1.62 , -0.15 , 13.33 , -1.07
1.68 , 0.15 , 12.870000000000001 , 3.68
1.74 , 1.53 , 8.73 , 3.68
1.8 , 0.46 , 10.11 , 2.45
1.86 , -0.31 , 9.040000000000001 , 0.61
1.92 , -0.46 , 6.44 , 0.46
1.98 , -0.46 , 7.51 , 0.31
2.04 , 0.46 , 8.120000000000001 , -0.46
2.1 , 0.31 , 10.42 , -0.61
2.16 , 0.15 , 13.33 , -0.31
2.221 , -0.61 , 15.48 , -1.69
2.2800000000000002 , 0.15 , 11.03 , 4.6000000000000005
2.34 , -2.7600000000000002 , 9.96 , 2.7600000000000002
2.4 , -1.3800000000000001 , 9.19 , 1.07
2.46 , -0.46 , 6.74 , 0.46
2.52 , 0.15 , 6.44 , 0.15
2.581 , -0.92 , 7.51 , 0.15
2.64 , -1.07 , 8.58 , -0.31
2.7 , -0.77 , 11.8 , 0.61
2.7640000000000002 , -1.69 , 14.86 , 0.61
2.82 , -1.69 , 15.02 , 3.98
2.88 , 1.99 , 8.73 , 6.13
2.94 , -0.46 , 9.5 , 1.99
3.0 , -0.77 , 7.2 , 1.3800000000000001
3.06 , -0.77 , 5.82 , 0.77
3.12 , -0.46 , 6.59 , 0.61
3.18 , 0.15 , 7.97 , 0.46
3.241 , -0.15 , 12.11 , 1.07
3.3000000000000003 , -0.15 , 13.18 , -0.15
3.36 , -1.23 , 15.63 , 4.9
3.42 , -1.69 , 9.65 , 5.21
3.48 , -2.15 , 10.42 , 1.07
3.54 , -0.61 , 6.74 , 1.53
3.605 , -0.15 , 5.36 , -0.31
3.66 , -0.77 , 6.9 , 0.77
3.72 , -1.07 , 8.89 , 0.31
3.7800000000000002 , -1.23 , 11.49 , 0.15
3.84 , -1.23 , 13.64 , 1.07
3.9 , -0.15 , 14.1 , 4.14
3.96 , 1.53 , 10.27 , 5.0600000000000005
4.021 , -0.61 , 11.03 , 2.91
4.08 , -0.61 , 6.44 , 0.61
4.14 , -0.77 , 5.21 , 0.77
4.2 , -0.77 , 7.3500000000000005 , 1.07
4.26 , 0.92 , 7.8100000000000005 , -0.15
4.32 , -0.46 , 12.72 , 0.46
4.38 , 0.15 , 13.48 , 0.92
4.44 , -1.69 , 15.63 , 4.9
4.5 , -1.84 , 8.27 , 6.13
4.5600000000000005 , -2.45 , 10.27 , 2.15
4.62 , -0.92 , 7.97 , 1.69
4.68 , -0.15 , 5.36 , 0.31
4.74 , -0.46 , 6.13 , 0.92
4.8 , -0.92 , 8.27 , 0.31
4.86 , -1.23 , 10.88 , -0.61
4.92 , -0.92 , 13.790000000000001 , 1.23
4.984 , 0.46 , 15.94 , 0.92
5.04 , 0.15 , 9.35 , 7.8100000000000005
5.1000000000000005 , 1.69 , 11.34 , 3.83
5.16 , -1.23 , 9.19 , 1.99
5.22 , -0.77 , 5.5200000000000005 , 0.15
5.28 , -0.61 , 5.82 , 1.07
5.3420000000000005 , -0.61 , 7.51 , 1.3800000000000001
5.4 , 0.46 , 10.57 , 0.15
5.46 , 0.46 , 13.18 , 1.3800000000000001
5.5200000000000005 , 0.15 , 15.780000000000001 , 1.3800000000000001
5.58 , -0.46 , 10.88 , 5.21
5.64 , -2.3000000000000003 , 10.88 , 3.06
5.7 , -2.15 , 8.73 , 2.3000000000000003
5.76 , -0.46 , 6.44 , 0.46
5.82 , -0.61 , 6.59 , 0.61
5.88 , -0.92 , 7.05 , 0.77
5.94 , -1.07 , 8.89 , -0.31
6.0 , -0.77 , 11.8 , 0.61
6.0600000000000005 , -1.84 , 12.72 , 0.46
6.12 , -1.23 , 14.71 , 3.83
6.18 , 1.69 , 8.73 , 6.28
6.24 , -1.07 , 11.34 , 3.37
6.3 , -1.07 , 7.3500000000000005 , 0.77
6.36 , -0.92 , 5.82 , 0.46
6.42 , -0.15 , 6.59 , 1.23
6.48 , 0.92 , 8.27 , 0.15
6.54 , 0.77 , 10.42 , 0.77
6.6000000000000005 , 0.15 , 13.18 , 0.92
6.66 , -1.23 , 16.240000000000002 , 1.53
6.72 , -1.84 , 9.19 , 6.44
6.78 , -3.68 , 10.27 , 4.6000000000000005
6.84 , -0.92 , 8.120000000000001 , 1.3800000000000001
6.9 , -0.77 , 5.82 , 0.61
6.96 , -0.77 , 5.98 , 0.61
7.0200000000000005 , -1.3800000000000001 , 7.66 , 0.77
7.085 , -1.3800000000000001 , 9.81 , 0.15
7.140000000000001 , -1.3800000000000001 , 12.870000000000001 , 1.23
7.2 , -0.15 , 15.48 , 0.92
7.26 , -0.92 , 11.65 , 7.2
7.32 , 2.6 , 8.43 , 4.75
7.38 , -0.77 , 10.27 , 3.06
7.44 , -0.15 , 7.2 , 0.31
7.5 , -0.77 , 5.0600000000000005 , 0.77
7.5600000000000005 , -0.15 , 6.28 , 0.77
7.62 , 0.61 , 9.040000000000001 , -0.15
7.68 , -0.46 , 13.02 , 1.69
7.74 , 0.61 , 14.56 , 1.07
7.8 , -1.53 , 12.41 , 6.44
7.86 , -2.7600000000000002 , 10.42 , 4.44
7.92 , -1.84 , 9.19 , 2.15
7.98 , -0.46 , 6.13 , 1.07
8.040000000000001 , -0.46 , 5.21 , 0.15
