time,x-axis,y-axis,z-axis
0.06 , -2.3000000000000003 , 5.82 , 7.8100000000000005
0.12 , -3.22 , 5.5200000000000005 , 8.27
0.181 , -1.07 , 5.5200000000000005 , 8.58
0.249 , -1.3800000000000001 , 6.13 , 9.65
0.3 , -2.6 , 2.91 , 7.2
0.361 , -3.52 , 3.83 , 7.05
0.421 , -1.53 , 3.83 , 8.43
0.48 , 0.31 , 3.68 , 6.28
0.54 , -0.61 , 6.13 , 11.8
0.6 , -2.3000000000000003 , 4.75 , 8.89
0.66 , -0.92 , 4.29 , 7.51
0.72 , -2.15 , 6.13 , 8.27
0.781 , -0.92 , 5.0600000000000005 , 6.59
0.84 , -2.3000000000000003 , 4.9 , 5.21
0.9 , 0.77 , 4.75 , 6.28
0.96 , 0.15 , 6.28 , 5.98
1.02 , -0.61 , 4.6000000000000005 , 7.05
1.08 , -1.3800000000000001 , 3.68 , 4.75
1.1400000000000001 , -1.99 , 0.92 , 3.06
1.2 , -4.29 , -1.53 , 5.36
1.26 , -8.120000000000001 , -3.83 , 4.14
1.32 , -13.94 , -5.98 , 6.9
1.3800000000000001 , -19.46 , -6.59 , 4.75
1.44 , -19.46 , -3.68 , 5.0600000000000005
1.5010000000000001 , -11.950000000000001 , 0.15 , -18.23
1.56 , 0.15 , -3.06 , -0.31
1.62 , -2.91 , -2.7600000000000002 , 0.92
1.681 , -7.3500000000000005 , -9.65 , -0.77
1.74 , -9.65 , -12.41 , -2.45
1.8 , -10.42 , -4.75 , -0.77
1.86 , -9.81 , -1.07 , -15.48
1.92 , -15.32 , 1.3800000000000001 , -8.120000000000001
1.981 , -8.73 , -10.27 , 5.82
2.041 , -4.14 , -5.0600000000000005 , 0.61
2.1 , -1.3800000000000001 , -6.9 , 0.31
2.16 , -2.3000000000000003 , -6.44 , 0.31
2.22 , -2.6 , -13.02 , -1.07
2.2800000000000002 , -9.96 , 12.11 , 2.7600000000000002
2.34 , 4.9 , -0.46 , 5.36
2.4 , -6.44 , -0.92 , 3.37
2.46 , 7.97 , -9.81 , -9.040000000000001
2.52 , 3.98 , -16.240000000000002 , -0.46
2.58 , 3.22 , -16.4 , -5.67
2.64 , 3.83 , -6.74 , 6.74
2.7 , 0.31 , -8.27 , -2.91
2.761 , 4.29 , -6.44 , -5.0600000000000005
2.82 , 1.3800000000000001 , -4.14 , -6.74
2.88 , 1.07 , -1.23 , -8.58
2.94 , 5.0600000000000005 , -2.91 , -10.42
3.0 , 5.21 , 1.84 , -7.8100000000000005
3.06 , 8.58 , -8.73 , -10.42
3.12 , 2.6 , 10.11 , 4.75
3.181 , 2.15 , -9.96 , 4.75
3.24 , 4.14 , -1.84 , -1.53
3.3000000000000003 , -16.09 , -19.46 , 11.49
3.36 , -6.59 , -19.46 , -10.57
3.4210000000000003 , -9.040000000000001 , -2.15 , -13.18
3.48 , -2.6 , -4.6000000000000005 , 4.75
3.54 , 4.9 , -13.33 , -10.88
3.6 , 9.19 , -19.46 , 7.66
3.66 , -8.120000000000001 , -7.3500000000000005 , 9.5
3.72 , -3.68 , -5.21 , 15.02
3.7800000000000002 , 2.7600000000000002 , 4.6000000000000005 , 1.3800000000000001
