time,x-axis,y-axis,z-axis
0.061 , -1.69 , 6.44 , 7.05
0.12 , -1.53 , 6.13 , 6.13
0.187 , -1.3800000000000001 , 6.9 , 6.74
0.243 , -0.77 , 7.51 , 6.28
0.3 , -0.15 , 8.27 , 7.8100000000000005
0.36 , -0.46 , 7.8100000000000005 , 7.97
0.421 , -0.46 , 6.13 , 11.8
0.48 , 0.61 , 5.21 , 9.35
0.54 , 1.53 , 4.6000000000000005 , 8.73
0.6 , 1.23 , 5.0600000000000005 , 5.82
0.66 , 0.92 , 4.44 , 6.59
0.72 , 0.46 , 5.21 , 4.75
0.78 , 0.46 , 5.36 , 5.98
0.84 , 0.31 , 5.5200000000000005 , 6.44
0.9 , 0.77 , 7.66 , 7.51
0.96 , 0.77 , 8.27 , 9.040000000000001
1.02 , 0.77 , 9.040000000000001 , 9.040000000000001
1.08 , -0.31 , 7.2 , 11.49
1.1400000000000001 , -0.92 , 5.5200000000000005 , 8.120000000000001
1.2 , -0.92 , 5.82 , 7.8100000000000005
1.26 , -0.61 , 5.36 , 7.8100000000000005
1.32 , -0.61 , 4.9 , 6.74
1.3800000000000001 , -0.46 , 4.75 , 5.21
1.44 , -0.61 , 5.5200000000000005 , 4.75
1.5 , -0.46 , 6.13 , 5.67
1.56 , -0.31 , 7.8100000000000005 , 7.51
1.621 , -0.46 , 8.27 , 9.040000000000001
1.68 , -0.31 , 8.58 , 8.58
1.74 , 1.3800000000000001 , 8.58 , 11.49
1.8 , 0.31 , 4.29 , 8.58
1.86 , 2.7600000000000002 , 5.36 , 7.8100000000000005
1.922 , 0.61 , 4.29 , 6.13
1.98 , 0.77 , 4.44 , 4.75
2.04 , -0.15 , 4.75 , 3.98
2.1 , 0.46 , 5.82 , 5.98
2.16 , 0.31 , 7.66 , 8.27
2.22 , 0.31 , 8.43 , 9.040000000000001
2.2800000000000002 , -0.61 , 8.58 , 8.27
2.34 , -0.92 , 6.74 , 11.34
2.4 , -1.69 , 5.67 , 8.89
2.46 , -1.07 , 5.0600000000000005 , 8.120000000000001
2.5220000000000002 , -0.61 , 5.5200000000000005 , 7.8100000000000005
2.58 , -0.77 , 4.29 , 6.44
2.64 , -0.15 , 4.9 , 5.67
2.7 , -1.07 , 5.0600000000000005 , 5.21
2.7600000000000002 , -0.46 , 6.74 , 6.44
2.82 , -0.61 , 7.66 , 7.66
2.88 , -0.61 , 8.43 , 8.89
2.94 , -0.15 , 8.58 , 9.040000000000001
3.0 , 1.23 , 6.28 , 11.950000000000001
3.06 , 0.31 , 4.6000000000000005 , 7.3500000000000005
3.12 , 1.69 , 5.36 , 7.2
3.18 , 0.61 , 4.29 , 5.36
3.24 , 0.46 , 4.9 , 4.29
3.3000000000000003 , -0.31 , 5.0600000000000005 , 5.21
3.36 , 0.46 , 6.44 , 6.44
3.42 , 0.31 , 7.8100000000000005 , 8.73
3.48 , -0.31 , 8.120000000000001 , 9.19
3.54 , -1.3800000000000001 , 8.27 , 7.51
3.6 , -1.3800000000000001 , 6.13 , 11.950000000000001
3.662 , -1.84 , 5.98 , 7.8100000000000005
3.72 , -1.07 , 5.36 , 8.89
3.7800000000000002 , -0.61 , 5.0600000000000005 , 7.51
3.84 , -0.61 , 4.44 , 6.44
3.9 , -0.61 , 4.9 , 5.36
3.96 , -0.15 , 5.67 , 6.13
4.0200000000000005 , -0.77 , 6.59 , 6.28
4.08 , 0.15 , 7.97 , 8.43
4.14 , 0.15 , 7.8100000000000005 , 9.35
4.2 , 1.3800000000000001 , 8.27 , 9.81
4.26 , 0.46 , 4.9 , 10.88
4.32 , 1.53 , 5.5200000000000005 , 7.05
4.38 , 0.77 , 4.9 , 6.9
4.44 , 0.31 , 4.6000000000000005 , 5.0600000000000005
4.5 , 0.31 , 4.75 , 3.98
4.5600000000000005 , 0.46 , 5.82 , 5.36
4.62 , 0.46 , 6.74 , 7.3500000000000005
4.681 , 0.61 , 8.43 , 7.2
4.74 , -0.31 , 8.27 , 10.42
4.8 , -1.3800000000000001 , 7.97 , 10.11
4.86 , -0.77 , 5.5200000000000005 , 10.73
4.92 , -1.53 , 5.82 , 7.3500000000000005
4.98 , -0.31 , 4.9 , 8.120000000000001
5.04 , -0.46 , 4.6000000000000005 , 5.98
5.1000000000000005 , -0.61 , 4.44 , 5.67
5.16 , -0.61 , 5.5200000000000005 , 5.67
5.22 , -0.92 , 5.98 , 7.3500000000000005
5.28 , -0.61 , 7.2 , 7.2
5.34 , -0.15 , 7.66 , 9.19
5.4 , -0.15 , 7.97 , 9.96
