time,x-axis,y-axis,z-axis
0.061 , -0.61 , 8.120000000000001 , 6.13
0.126 , -0.31 , 8.27 , 4.6000000000000005
0.18 , -1.69 , 8.73 , 5.5200000000000005
0.24 , -0.46 , 7.8100000000000005 , 3.52
0.302 , -0.61 , 8.43 , 5.98
0.36 , 0.46 , 7.97 , 5.21
0.42 , -0.77 , 8.58 , 4.29
0.48 , -1.53 , 8.43 , 5.5200000000000005
0.54 , -1.3800000000000001 , 8.120000000000001 , 5.82
0.6 , -0.31 , 6.44 , 5.67
0.66 , 0.77 , 7.3500000000000005 , 5.36
0.72 , -1.23 , 7.8100000000000005 , 5.5200000000000005
0.78 , -1.23 , 7.97 , 6.28
0.84 , -1.23 , 7.66 , 4.6000000000000005
0.9 , -0.77 , 7.2 , 6.59
0.96 , -1.53 , 7.66 , 5.98
1.02 , -1.53 , 7.8100000000000005 , 7.05
1.08 , -1.07 , 8.27 , 6.74
1.1400000000000001 , -1.3800000000000001 , 7.97 , 6.9
1.2 , -1.23 , 7.97 , 5.98
1.26 , -0.77 , 8.120000000000001 , 5.5200000000000005
1.32 , -1.07 , 9.35 , 4.14
1.3800000000000001 , 0.31 , 9.65 , 2.45
1.441 , -0.61 , 7.66 , 1.69
1.5 , 0.15 , 10.11 , 2.3000000000000003
1.56 , -0.61 , 8.73 , 1.23
1.62 , -0.92 , 10.11 , 0.92
1.68 , -1.23 , 9.040000000000001 , 2.91
1.74 , -0.46 , 10.11 , 2.45
1.8 , -0.46 , 10.88 , 2.45
1.86 , 0.31 , 9.35 , 1.53
1.92 , 0.92 , 11.49 , 1.99
1.98 , 0.31 , 9.35 , 1.23
2.04 , 0.31 , 10.11 , 1.99
2.1 , 0.31 , 9.96 , 1.53
2.16 , 0.15 , 9.19 , 1.07
2.22 , 0.31 , 9.96 , 1.23
2.2800000000000002 , -0.31 , 10.11 , 1.07
2.34 , -0.15 , 10.11 , 0.92
2.4 , -0.15 , 9.81 , 0.77
2.462 , -0.15 , 9.96 , 0.77
2.52 , -0.15 , 9.5 , 0.92
2.58 , -0.46 , 9.19 , 0.61
2.64 , -0.31 , 8.58 , 0.46
2.7 , 0.15 , 10.42 , 0.46
2.7600000000000002 , 0.15 , 9.19 , -0.46
2.82 , 0.31 , 10.27 , 1.23
2.88 , -0.61 , 9.19 , 0.61
2.94 , -0.31 , 9.81 , 1.53
3.0 , 1.84 , 8.120000000000001 , 1.99
3.06 , 0.77 , 9.5 , 1.84
3.12 , 0.46 , 10.88 , 1.07
3.181 , -0.31 , 9.35 , 0.46
3.241 , -0.31 , 10.42 , 0.46
3.3000000000000003 , 0.31 , 8.73 , 1.53
3.36 , 0.46 , 10.11 , 0.15
3.42 , 1.23 , 8.43 , 1.23
3.48 , 1.23 , 10.73 , 2.15
3.54 , 0.15 , 9.5 , -0.92
3.6 , 0.15 , 10.88 , 1.69
3.66 , 0.46 , 9.5 , -0.92
3.72 , 0.61 , 11.19 , -0.46
3.781 , 1.23 , 8.58 , 0.61
3.84 , -0.46 , 9.35 , -0.46
3.9 , 0.31 , 9.19 , -0.15
3.96 , 0.15 , 10.73 , -0.77
4.0200000000000005 , -0.31 , 9.040000000000001 , -0.61
4.08 , -0.77 , 11.03 , -0.77
4.14 , -0.15 , 10.11 , 0.61
4.2 , -0.15 , 9.81 , -0.92
4.26 , -0.15 , 9.81 , -0.31
4.32 , -0.31 , 10.73 , 0.92
4.38 , -0.15 , 10.11 , 0.92
4.44 , -0.31 , 9.65 , -0.92
4.5 , 0.15 , 9.96 , 0.46
4.5600000000000005 , 0.46 , 9.35 , 0.15
4.62 , 0.31 , 10.11 , -0.61
4.68 , -0.15 , 10.11 , -1.53
4.74 , -0.15 , 10.42 , 0.61
4.8 , 0.46 , 9.35 , -1.07
4.86 , -0.61 , 10.27 , -0.15
4.92 , 0.92 , 9.35 , -0.46
4.98 , 0.15 , 9.65 , -1.23
5.04 , 0.15 , 9.65 , -1.23
5.1000000000000005 , 0.77 , 9.19 , -0.92
5.163 , 0.77 , 9.81 , -1.53
5.22 , -0.15 , 9.5 , -0.92
5.28 , -0.31 , 9.65 , -1.53
5.34 , 0.31 , 9.96 , -0.61
5.4 , 0.15 , 10.27 , -0.61
5.46 , 0.46 , 10.11 , -0.92
5.5200000000000005 , 0.31 , 10.27 , -0.92
5.58 , 0.61 , 9.35 , -0.92
5.64 , 0.61 , 9.81 , -0.77
5.7 , 0.31 , 9.81 , -1.23
5.76 , 0.31 , 9.5 , -1.3800000000000001
5.82 , 0.46 , 9.5 , -0.77
5.88 , 0.15 , 9.96 , -1.3800000000000001
5.94 , 0.15 , 9.96 , -1.53
6.0 , 0.46 , 10.11 , -0.77
6.061 , 0.46 , 9.5 , -1.3800000000000001
6.12 , 0.46 , 9.65 , -0.92
6.18 , 1.07 , 9.35 , -1.3800000000000001
6.2410000000000005 , 0.61 , 9.19 , -0.92
6.3 , 0.61 , 10.57 , -0.92
6.36 , 0.77 , 10.88 , -1.53
6.42 , 0.77 , 10.73 , -0.92
6.48 , 0.61 , 13.02 , -0.31
6.541 , 1.69 , 9.5 , 0.77
6.6000000000000005 , -0.15 , 9.65 , 0.31
6.66 , -0.46 , 9.19 , 0.46
6.72 , -0.46 , 8.120000000000001 , 0.77
6.78 , 0.15 , 9.35 , -0.15
6.84 , 0.31 , 9.35 , -0.15
6.9 , 0.31 , 9.81 , -0.61
6.96 , 0.31 , 9.35 , 0.31
7.0200000000000005 , -0.61 , 9.5 , -0.31
7.08 , -0.61 , 9.65 , -1.07
7.140000000000001 , -0.46 , 9.35 , -1.3800000000000001
7.2 , -0.46 , 10.11 , -0.92
7.26 , -0.31 , 11.65 , -0.92
7.32 , 0.46 , 12.11 , -1.23
7.38 , 0.46 , 12.870000000000001 , -0.15
7.44 , 0.15 , 9.35 , -0.31
7.5 , 1.07 , 8.27 , 0.77
7.5600000000000005 , 1.3800000000000001 , 8.27 , 0.31
7.62 , 1.07 , 9.96 , 1.3800000000000001
7.68 , 0.31 , 9.19 , -0.61
7.7410000000000005 , 0.61 , 9.040000000000001 , -0.92
7.8 , 0.61 , 8.89 , -0.31
7.86 , 0.46 , 9.81 , -0.31
7.92 , 0.61 , 9.65 , -0.46
7.98 , 0.77 , 9.65 , -1.07
8.040000000000001 , 0.31 , 9.96 , -1.07
8.1 , 1.23 , 10.88 , -0.31
8.16 , 0.31 , 13.64 , 0.31
8.22 , 0.15 , 10.73 , 1.69
8.28 , -0.15 , 9.19 , 2.3000000000000003
8.34 , -0.77 , 9.35 , 0.15
8.4 , -0.31 , 9.35 , 1.07
8.46 , -0.15 , 9.040000000000001 , -0.15
8.52 , -0.15 , 9.35 , -0.15
8.581 , -0.15 , 9.19 , -0.31
8.64 , -0.31 , 9.19 , -0.77
8.700000000000001 , -0.15 , 9.5 , -0.46
8.76 , -0.15 , 9.96 , -1.23
8.82 , -0.46 , 9.96 , -0.92
8.88 , -0.46 , 10.88 , -1.07
8.94 , 0.77 , 11.8 , -0.77
9.0 , 0.77 , 13.02 , 0.61
9.06 , -0.46 , 10.11 , 0.92
9.120000000000001 , 0.61 , 8.73 , 0.61
9.18 , 1.07 , 8.43 , 1.07
9.24 , 0.15 , 10.27 , 0.46
9.3 , -0.31 , 9.5 , -0.61
9.36 , 0.15 , 8.73 , -0.77
9.42 , 0.31 , 8.89 , -0.15
9.48 , 0.31 , 9.040000000000001 , -0.61
9.540000000000001 , 0.61 , 9.96 , -0.15
9.6 , 0.77 , 10.57 , -1.23
9.66 , 0.61 , 11.8 , -0.61
9.72 , 0.15 , 11.950000000000001 , -1.07
9.781 , 0.15 , 12.56 , 0.92
9.84 , 0.15 , 9.35 , 1.3800000000000001
9.9 , -0.31 , 7.8100000000000005 , 0.92
9.96 , -0.92 , 8.58 , 0.46
10.02 , -0.61 , 9.5 , 1.07
10.08 , -0.61 , 8.43 , -0.15
10.14 , -0.31 , 9.19 , -0.92
10.200000000000001 , -0.31 , 9.65 , -0.92
10.26 , -0.61 , 9.19 , -0.92
10.32 , -0.15 , 10.42 , -0.61
10.38 , -0.31 , 11.950000000000001 , -0.61
10.44 , 0.15 , 11.49 , -1.07
10.5 , 0.15 , 12.26 , 0.15
10.56 , 0.46 , 10.73 , 1.23
10.620000000000001 , 0.77 , 8.120000000000001 , 0.92
10.68 , 1.07 , 8.43 , 0.92
10.74 , 0.15 , 9.65 , 0.77
10.8 , 0.15 , 9.19 , 0.77
10.86 , 0.31 , 8.58 , 0.77
10.92 , 0.61 , 8.89 , -0.31
10.98 , 0.77 , 9.19 , -0.61
11.040000000000001 , 0.92 , 10.88 , -0.61
11.1 , 1.07 , 11.49 , -1.23
11.16 , 1.07 , 12.56 , -0.31
11.22 , 0.92 , 11.950000000000001 , -0.31
11.28 , 0.31 , 10.57 , 0.61
11.34 , 0.31 , 8.120000000000001 , 1.53
11.4 , -0.77 , 9.5 , 0.31
11.46 , -0.31 , 9.96 , 0.92
11.52 , -0.31 , 8.58 , 0.92
11.58 , 0.46 , 8.58 , 0.92
11.64 , 0.15 , 8.89 , -0.61
11.700000000000001 , -0.46 , 9.19 , -0.31
11.76 , -0.31 , 9.35 , -0.61
11.82 , -0.15 , 11.49 , -1.23
11.88 , -0.15 , 11.8 , -1.07
11.94 , 0.77 , 11.65 , -0.46
12.0 , 0.77 , 13.33 , 0.31
12.061 , 0.46 , 8.27 , 1.23
12.120000000000001 , 0.61 , 8.58 , 1.07
12.18 , 0.31 , 8.73 , 0.77
12.24 , 0.15 , 9.19 , 0.61
12.3 , 0.46 , 8.89 , 0.61
12.36 , 0.46 , 8.58 , -0.31
12.42 , 0.31 , 8.89 , 0.15
12.48 , 0.15 , 9.35 , -0.15
12.540000000000001 , 0.31 , 11.65 , -0.61
12.6 , 0.31 , 11.65 , -1.53
12.66 , 0.92 , 12.870000000000001 , 0.46
12.72 , 0.31 , 11.8 , 0.46
12.780000000000001 , 0.31 , 8.89 , 1.99
12.84 , -0.77 , 8.27 , 1.3800000000000001
12.9 , -0.77 , 10.11 , 0.77
12.96 , -0.15 , 8.43 , 0.61
13.02 , -0.15 , 7.8100000000000005 , 0.15
13.081 , -0.31 , 9.35 , -0.31
13.14 , -0.31 , 9.19 , -0.31
13.201 , -0.15 , 9.35 , -0.31
13.26 , -0.15 , 11.19 , -0.77
13.32 , -0.92 , 12.56 , -0.92
13.38 , 0.77 , 10.88 , -0.92
13.44 , -0.15 , 12.11 , 0.15
13.5 , 0.15 , 8.73 , 0.77
13.56 , 0.46 , 8.89 , 0.31
13.620000000000001 , 1.3800000000000001 , 8.73 , 1.53
13.68 , 1.3800000000000001 , 9.35 , -0.15
13.74 , 0.46 , 8.73 , -0.77
13.8 , 0.46 , 8.120000000000001 , -0.61
13.86 , 0.77 , 8.73 , -1.07
13.92 , 1.07 , 10.88 , -0.77
13.98 , 1.3800000000000001 , 11.49 , -0.92
14.040000000000001 , 0.92 , 11.49 , -1.3800000000000001
14.1 , 0.77 , 13.33 , 0.31
14.16 , 0.15 , 10.57 , 0.92
14.22 , -0.15 , 8.73 , 1.3800000000000001
14.280000000000001 , -0.92 , 9.040000000000001 , -0.15
14.34 , 0.15 , 8.43 , 0.77
14.4 , 0.31 , 8.27 , -0.46
14.46 , 0.61 , 8.89 , -0.31
14.52 , 0.31 , 9.96 , -0.31
14.581 , 0.31 , 9.35 , -0.92
14.64 , 0.31 , 10.27 , -1.07
14.700000000000001 , -0.77 , 13.33 , -1.99
14.76 , 0.61 , 11.34 , -1.23
14.82 , 0.46 , 13.02 , 0.31
14.88 , 0.31 , 9.040000000000001 , 0.31
14.94 , 0.77 , 8.89 , 1.23
15.0 , 0.77 , 8.43 , 0.31
15.061 , 0.77 , 8.89 , 0.15
15.123000000000001 , 0.46 , 7.97 , -0.77
15.18 , 0.77 , 8.120000000000001 , 0.15
15.24 , 0.77 , 9.5 , -1.07
15.3 , 1.07 , 11.34 , -1.07
15.36 , 0.92 , 11.8 , -1.99
15.42 , 1.84 , 12.56 , -0.31
15.48 , 0.92 , 13.64 , -0.31
15.540000000000001 , -0.61 , 8.89 , 0.61
15.6 , -0.31 , 8.27 , 1.3800000000000001
15.66 , -1.3800000000000001 , 9.96 , -0.77
15.72 , -0.31 , 9.040000000000001 , -0.77
15.780000000000001 , -0.31 , 7.97 , -1.07
15.84 , 0.15 , 8.89 , -0.61
15.9 , 0.15 , 9.19 , -0.77
15.96 , 0.46 , 9.19 , -0.46
16.02 , 0.15 , 11.65 , -1.53
16.080000000000002 , -0.46 , 13.33 , -2.15
16.14 , 0.61 , 12.41 , -0.92
16.2 , 0.15 , 11.34 , 0.15
16.26 , 0.92 , 8.58 , 0.15
16.32 , 1.07 , 7.3500000000000005 , 0.31
16.38 , 0.92 , 8.58 , 0.15
16.44 , 0.31 , 9.19 , -0.92
16.501 , 0.61 , 7.8100000000000005 , -0.77
