time,x-axis,y-axis,z-axis
0.06 , -0.61 , 6.44 , 8.120000000000001
0.12 , -0.31 , 6.9 , 9.040000000000001
0.181 , -0.92 , 6.28 , 7.66
0.24 , -1.23 , 6.74 , 7.05
0.3 , -1.3800000000000001 , 6.28 , 8.73
0.361 , -1.23 , 5.82 , 8.120000000000001
0.42 , -1.07 , 4.9 , 8.89
0.48 , 0.15 , 6.44 , 7.05
0.54 , -0.15 , 5.5200000000000005 , 7.97
0.6 , 0.46 , 6.13 , 6.74
0.66 , -1.07 , 5.5200000000000005 , 7.66
0.72 , -1.07 , 6.44 , 7.05
0.78 , -1.23 , 6.44 , 7.2
0.84 , -1.69 , 6.44 , 6.13
0.9 , -0.61 , 7.2 , 6.9
0.96 , -2.3000000000000003 , 4.6000000000000005 , 2.3000000000000003
1.02 , -4.29 , 2.91 , 7.2
1.08 , -7.8100000000000005 , 8.120000000000001 , 4.44
1.1400000000000001 , -3.37 , 2.45 , 6.44
1.2 , -3.68 , 2.6 , 3.98
1.26 , -2.6 , -0.92 , -0.61
1.32 , -11.19 , 2.15 , 4.9
1.3800000000000001 , -4.6000000000000005 , -3.37 , 3.83
1.44 , -7.8100000000000005 , -9.5 , 8.27
1.5 , -19.46 , -10.42 , 11.65
1.56 , -19.46 , -1.3800000000000001 , 2.45
1.621 , -16.09 , -6.59 , -5.0600000000000005
1.68 , -8.120000000000001 , -6.28 , 5.21
1.74 , -4.14 , -4.9 , -3.22
1.8 , -2.15 , -12.56 , 2.7600000000000002
1.86 , -7.2 , -4.29 , -0.15
1.92 , -14.1 , -8.73 , 1.84
1.98 , -4.75 , -3.37 , -0.61
2.04 , -9.5 , -2.3000000000000003 , 0.61
2.1 , -6.59 , -4.6000000000000005 , 0.61
2.16 , -8.43 , -6.13 , 2.7600000000000002
2.22 , -16.86 , -1.99 , 5.36
2.2800000000000002 , -10.11 , -5.36 , 2.15
2.34 , -2.7600000000000002 , 0.15 , 0.77
2.4 , -5.67 , -8.43 , -2.3000000000000003
2.46 , -10.11 , -9.81 , 3.37
2.52 , -6.28 , -1.3800000000000001 , -3.37
2.58 , -4.75 , -7.05 , 0.92
2.64 , -5.98 , -5.21 , -3.37
2.7 , -4.75 , -7.51 , -2.91
2.7600000000000002 , -3.06 , -9.96 , -3.22
2.82 , -3.37 , -8.27 , -0.77
2.88 , -4.75 , -9.35 , -0.77
2.94 , -3.98 , -11.03 , -1.3800000000000001
3.0 , -3.06 , -5.67 , 1.99
3.06 , 0.92 , -6.59 , 1.84
3.12 , 0.92 , -1.23 , -0.77
3.18 , -0.46 , -10.73 , -0.31
3.24 , 3.06 , -5.36 , 0.31
3.3000000000000003 , 1.69 , -14.1 , -3.37
3.36 , 2.15 , -8.43 , 2.45
3.42 , 3.22 , -10.27 , -1.99
3.48 , 2.91 , -10.27 , 0.15
3.54 , 3.98 , -7.51 , 1.99
3.6 , 0.61 , -8.58 , -2.45
